"ID";"NOM";"CODCOMMUNE";"COMMUNE";"NUMERO";"VOIE";"ADRESSE";"THEME";"CATEGORIE";"ACTIVITES";"SECTEURS";"CANTON";"STATUT";"GESTIONNAIRE"
1012;Bureau de vote (Ec. mat. Général Gougeard);181;Le Mans;36;rue de Richebourg;36 rue de Richebourg;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 3,4;CANTON LE MANS-CENTRE;Public;LE MANS
1013;Bureau de vote (salle Paul Scarron - Mairie);181;Le Mans;1;pl Saint Pierre;1 pl Saint Pierre;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 1;CANTON LE MANS-CENTRE;Public;LE MANS
1014;Bureau de vote (Rest. scol. Mauboussin);181;Le Mans;1;rue Boitard;1 rue Boitard;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 50;CANTON LE MANS SUD-EST;Public;LE MANS
1015;Bureau de vote (Rest. scol. Jean Vilar);181;Le Mans;36;rue de Nancy;36 rue de Nancy;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 61,62;CANTON LE MANS SUD-EST;Public;LE MANS
1016;Bureau de vote (Rest. scol. Montaigu);181;Le Mans;32;rue de Montaigu;32 rue de Montaigu;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 80,81;CANTON LE MANS OUEST;Public;LE MANS
1017;Bureau de vote (Rest. scol. Sablonnière);181;Le Mans;9;rue des Alpes;9 rue des Alpes;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 37,38;CANTON LE MANS VILLE-EST;Public;LE MANS
1018;Bureau de vote (Rest. scol. Jean Macé);181;Le Mans;24;rue Jean Macé;24 rue Jean Macé;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 44,45,46;CANTON LE MANS VILLE-EST;Public;LE MANS
1019;Bureau de vote (Rest. scol. Marcel Pagnol);181;Le Mans;93;rue de Saint Aubin;93 rue de Saint Aubin;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 94,95;CANTON LE MANS NORD OUEST;Public;LE MANS
1020;Bureau de vote (Rest. scol. Claude Bernard);181;Le Mans;29;rue Kepler;29 rue Kepler;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 39,4;CANTON LE MANS VILLE-EST;Public;LE MANS
1021;Bureau de vote (Ec. mat. René Descartes);181;Le Mans;2;rue Besnier;2 rue Besnier;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 10,11;CANTON LE MANS-CENTRE;Public;LE MANS
1022;Bureau de vote (Ec. prim. Marceau);181;Le Mans;34;rue Guillot Ami;34 rue Guillot Ami;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 72,73,74,7;CANTON LE MANS OUEST;Public;LE MANS
1023;Bureau de vote (Foyer Fulbert Masson);181;Le Mans;7;rue Maryse Bastié;7 rue Maryse Bastié;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 51,53;CANTON LE MANS SUD-EST;Public;LE MANS
