RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
0765;BOLLEE (AVENUE);64;394;;;11;ECOLE MATERNELLE RENE-DESCARTES
0765;BOLLEE (AVENUE);96;156E;;;10;ECOLE MATERNELLE RENE-DESCARTES
0765;BOLLEE (AVENUE);;;1;63;13;ECOLE PRIMAIRE SUZANNE-BUSSON
0765;BOLLEE (AVENUE);;;229;229;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0765;BOLLEE (AVENUE);;;301;489;18;MAISON DE QUARTIER CHARLES TRENET
0765;BOLLEE (AVENUE);;;65;299;28;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0768;BOLTON (RUE DE);2;32;1;25;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0770;BON PASTEUR (RUE DU);2;18;1;15;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
0775;BONE (RUE DE);2BIS;12;1;9;3;ECOLE MATERNELLE GENERAL GOUGEARD
0780;BONNETABLE (RUE DE);38;128;1;161;20;ECOLE PRIMAIRE DU VILLARET
0785;BONS ENFANTS (RUE DES);12;28;13;27;27;RESTAURANT SCOLAIRE PRIMAIRE RENE DESCARTES
0790;BORDEAUX (RUE DE);2;10;1;23;90;RESTAURANT SCOLAIRE ROGER BOUVET
0792;BORIS VIAN (COURS);2;2;1;17;44;RESTAURANT SCOLAIRE JEAN MACE
0795;BOSQUET (RUE DU);2;34;1;11;32;ECOLE MATERNELLE DES MAILLETS
0797;BOSSUET (RUE);2;10;1;1;11;ECOLE MATERNELLE RENE-DESCARTES
0804;BOUCHERIES (ESCALIER DES);;;;;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0804;BOUCHERIES (ESCALIER DES);;;;;84;SALLE DU CHENE VERT
0805;BOUCHERIES (RUE DES);2;4;;;84;SALLE DU CHENE VERT
0805;BOUCHERIES (RUE DES);;;7;9;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0815;BOULEAUX (RUE DES);2;82;1;11;49;MAISON DE QUARTIER DES BRUYERES
0820;BOULOGNE (ALLEE DE);;;1;5;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
0825;BOUQUET (RUE DU);4;10;1;11;1;MAIRIE - SALLE PAUL SCARRON
0830;BOURDELLE (RUE);2;2;1;15;56;ECOLE PRIMAIRE GUY MOQUET
0835;BOURDON (IMPASSE);4;20;1;15;72;ECOLE PRIMAIRE MARCEAU
0840;BOURDON (RUE);2;48;1;43;72;ECOLE PRIMAIRE MARCEAU
0845;BOURG BAS (RUE DU);10;68;1;51;47;ECOLE MATERNELLE MAUBOUSSIN
0845;BOURG BAS (RUE DU);2;4;;;66;RESTAURANT SCOLAIRE JULES FERRY
0850;BOURG BELE (IMPASSE DU);4;14;1;23;5;FOYER RENE-CLAIR
0856;BOURG BELE (PONT DU);;;;;46;RESTAURANT SCOLAIRE JEAN MACE
0856;BOURG BELE (PONT DU);;;;;6;FOYER RENE-CLAIR
0855;BOURG BELE (RUE DU);2;146;1;125;5;FOYER RENE-CLAIR
0854;BOURG D'ANGUY (ALLEE DU);4;12;;;2;ECOLE MATERNELLE CLAUDE-CHAPPE
0865;BOURGES (RUE);2;52;1;41;83;ECOLE PRIMAIRE ARDRIERS
0870;BOURGNEUF (IMPASSE DU);2;14;3;3;35;MAISON DE QUARTIER BARBARA
0875;BOURGOIN (RUE);4;4;1;17;66;RESTAURANT SCOLAIRE JULES FERRY
0876;BOUVINES (RUE DE);4;48;11;47;81;RESTAURANT SCOLAIRE MONTAIGU
0877;BOUVREUILS (RUE DES);2;74;3;23;26;ECOLE PRIMAIRE CLAIREFONTAINE
0878;BRASILIA (RUE DE);4;58;1;47;34;RESTAURANT SCOLAIRE DU PLATEAU
0880;BREST (PLACE DE);2;8;;;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
0885;BRETAGNE (AVENUE DE);2;12;1;61;68;RESTAURANT SCOLAIRE JULES FERRY
0885;BRETAGNE (AVENUE DE);;;35;37;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0890;BRIFFAULT (IMPASSE);;;;;36;MAISON DE QUARTIER BARBARA
0895;BRIFFAULT (RUE);2;60;7;73;36;MAISON DE QUARTIER BARBARA
0900;BRIGITTE (RUE);8;14;;;17;MAISON DE QUARTIER CHARLES TRENET
0905;BRINDEJONC DES MOULINAIS (RUE);2;48;1;43;54;SALLE LE ROYAL
0910;BRIQUETERIE (RUE DE LA);6;42;5;65;80;RESTAURANT SCOLAIRE MONTAIGU
0914;BRUXELLES (ALLEE DE);;;;;33;RESTAURANT SCOLAIRE DU PLATEAU
0914;BRUXELLES (ALLEE DE);;;;;34;RESTAURANT SCOLAIRE DU PLATEAU
0915;BRUXELLES (AVENUE DE);2;40;1;35;34;RESTAURANT SCOLAIRE DU PLATEAU
0923;BUDAPEST (ALLEE DE);2;10;;;33;RESTAURANT SCOLAIRE DU PLATEAU
0921;BUDAPEST (RUE DE);2;38;1;35;33;RESTAURANT SCOLAIRE DU PLATEAU
0922;BUENOS AIRES (RUE DE);4;26;3;35;34;RESTAURANT SCOLAIRE DU PLATEAU
0924;BUFFON (RUE);2;12;1;13;17;MAISON DE QUARTIER CHARLES TRENET
0925;BUISSON (CHEMIN DU);;;;;82;ECOLE PRIMAIRE ARDRIERS
0926;BUISSON (RUE DU);10;40;1;45;82;ECOLE PRIMAIRE ARDRIERS
0919;BULGARIE (IMPASSE DE);;;;;42;MAISON DE QUARTIER EDITH PIAF
0919;BULGARIE (IMPASSE DE);;;;;43;MAISON DE QUARTIER EDITH PIAF
0927;BULGARIE (RUE DE);2;18;41;43;43;MAISON DE QUARTIER EDITH PIAF
0929;BURGOS (RUE DE);4;82;3;83;19;ECOLE PRIMAIRE DU VILLARET
0931;CADIX (RUE DE);4;14;3;7;19;ECOLE PRIMAIRE DU VILLARET
0930;CALANDRE (RUE DE LA);2;54;1;19;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
0932;CAMILLE CLAUDEL (RUE);10;32;3;15;56;ECOLE PRIMAIRE GUY MOQUET
0933;CAMILLE PISSARRO (RUE);;;1;13;63;MAISON POUR TOUS JEAN MOULIN
0935;CAMPANULES (RUE DES);2;40;;;79;ECOLE MATERNELLE MARIE CURIE
0938;CANAL (RUE DU);;;;;72;ECOLE PRIMAIRE MARCEAU
0940;CANNES (ALLEE DE);;;1;3;90;RESTAURANT SCOLAIRE ROGER BOUVET
0945;CANONS (RUE DES);4;48;1;45;47;ECOLE MATERNELLE MAUBOUSSIN
0948;CANTAL (PLACE DU);;;1;1;38;RESTAURANT SCOLAIRE SABLONNIERE
0947;CANTAL (RUE DU);2;6;1;43;38;RESTAURANT SCOLAIRE SABLONNIERE
0952;CAPITAINE ALFRED DREYFUS (PLACE DU);;;;;6;FOYER RENE-CLAIR
0950;CAPITAINE DAMPIERRE (RUE DU);2;34;1;17;52;SALLE LE ROYAL
0955;CAPITAINE FERBER (RUE DU);2;16;1;29;52;SALLE LE ROYAL
0960;CAPITAINE FLOCH (RUE DU);2;42;1;37;13;ECOLE PRIMAIRE SUZANNE-BUSSON
0965;CAPITAINE GUYNEMER (RUE DU);2;92;1;59;54;SALLE LE ROYAL
0970;CAPITAINE REYX (RUE DU);2;14;1;9;78;ECOLE MATERNELLE MARIE CURIE
0977;CARACAS (PLACE DE);2;32;;;34;RESTAURANT SCOLAIRE DU PLATEAU
0978;CARCASSONNE (RUE DE);4;22;3;23;62;RESTAURANT SCOLAIRE JEAN VILAR
0980;CARDINAL GRENTE (PLACE DU);4;24;1;23;1;MAIRIE - SALLE PAUL SCARRON
0985;CAREL (RUE);2;34;1;33;45;RESTAURANT SCOLAIRE JEAN MACE
0990;CARENTAN (RUE DE);2;112;1;131;47;ECOLE MATERNELLE MAUBOUSSIN
0995;CARNOT (BOULEVARD);156;266;173;297;75;ECOLE PRIMAIRE MARCEAU
0995;CARNOT (BOULEVARD);2;150;5;169;74;ECOLE PRIMAIRE MARCEAU
1000;CARNOT (IMPASSE);2;14;5;13;74;ECOLE PRIMAIRE MARCEAU
1005;CARPEAUX (RUE);;;1;33;56;ECOLE PRIMAIRE GUY MOQUET
1010;CARRIERE (RUE DE LA);2BIS;44;1;43;51;FOYER FULBERT MASSON
1015;CARROSSERIE (IMPASSE DE LA);;;11;15BIS;35;MAISON DE QUARTIER BARBARA
1017;CARTOUCHERIE (ALLEE DE LA);;;;;66;RESTAURANT SCOLAIRE JULES FERRY
1017;CARTOUCHERIE (ALLEE DE LA);;;;;71;RESTAURANT SCOLAIRE BERTHE HUBERT
1018;CASABLANCA (RUE DE);10;34;3;53;21;ECOLE PRIMAIRE DU VILLARET
1020;CASERNES (PASSAGE DES);4;12;5;15;4;ECOLE MATERNELLE GENERAL GOUGEARD
1023;CASTORS (IMPASSE DES);;;1;9;80;RESTAURANT SCOLAIRE MONTAIGU
1025;CAUVIN (RUE);2;16;1;39;12;ECOLE PRIMAIRE SUZANNE-BUSSON
1030;CAVAIGNAC (RUE);32;86;1;97;7;ECOLE MATERNELLE FRANCOIS-RABELAIS
1040;CELESTIN PEGOUD (RUE);2;14;1;27;52;SALLE LE ROYAL
1050;CERISIERS (RUE DES);2;20;1;51;32;ECOLE MATERNELLE DES MAILLETS
1055;CESAR FRANCK (ALLEE);;;1;9;51;FOYER FULBERT MASSON
1057;CEVENNES (RUE DES);2;2;1;1;37;RESTAURANT SCOLAIRE SABLONNIERE
1057;CEVENNES (RUE DES);4;18;3;17;38;RESTAURANT SCOLAIRE SABLONNIERE
1060;CHALETS (RUE DES);2;72;1;69;23;RESTAURANT SCOLAIRE CLAIREFONTAINE
1062;CHAMBORD (ALLEE DE);2;8;3;5;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
1063;CHAMP BAS (IMPASSE DU);2;6;;;16;MAISON DE QUARTIER CHARLES TRENET
1065;CHAMP DE MARS (RUE DU);2;70;17;57;67;RESTAURANT SCOLAIRE JULES FERRY
1075;CHAMP GARREAU (IMPASSE);6;20;1;7;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
1066;CHAMP HAUT (IMPASSE DU);;;1;5;16;MAISON DE QUARTIER CHARLES TRENET
1070;CHAMP LONG (IMPASSE DU);10;22;11;21;75;ECOLE PRIMAIRE MARCEAU
1068;CHAMPFLEURY (CHEMIN DE);10;36;999;999;97;ITEMM
1077;CHAMPOLLION (IMPASSE);4;4;1;23;77;ECOLE MATERNELLE MARIE CURIE
1080;CHAMPOLLION (RUE);2;24;3;39;77;ECOLE MATERNELLE MARIE CURIE
1085;CHAMPS (RUE DES);2;34;1;31;3;ECOLE MATERNELLE GENERAL GOUGEARD
1090;CHAMPS ELYSEES (RUE DES);12;40;11;45;73;ECOLE PRIMAIRE MARCEAU
1100;CHANOINE J LELIEVRE (RUE DU);2;46;1;45;5;FOYER RENE-CLAIR
1105;CHANOINES (RUE DES);20;34;1;27;1;MAIRIE - SALLE PAUL SCARRON
1110;CHANUTE (RUE);2;4;1;5;54;SALLE LE ROYAL
1115;CHANZY (RUE);2;138;1;107;9;ECOLE MATERNELLE FRANCOIS-RABELAIS
1115;CHANZY (RUE);;;109;109;8;ECOLE MATERNELLE FRANCOIS-RABELAIS
1120;CHAPEAU ROUGE (IMPASSE DU);2;14;1;11;72;ECOLE PRIMAIRE MARCEAU
1125;CHAPELAINS (RUE DES);6;8;1;15;1;MAIRIE - SALLE PAUL SCARRON
1130;CHAPPE (RUE);2;16;1;15;13;ECOLE PRIMAIRE SUZANNE-BUSSON
1133;CHARBONNIERE (CHEMIN DE LA);;;1;1;26;ECOLE PRIMAIRE CLAIREFONTAINE
1133;CHARBONNIERE (CHEMIN DE LA);;;11;17;16;MAISON DE QUARTIER CHARLES TRENET
1135;CHARCOT (RUE);2;34;5;35;46;RESTAURANT SCOLAIRE JEAN MACE
1140;CHARLES CABARET (RUE);2;36;1;41;26;ECOLE PRIMAIRE CLAIREFONTAINE
1141;CHARLES CROS (RUE);2;8;;;92;RESTAURANT SCOLAIRE DE LA MADELEINE
1142;CHARLES DE BEAUMANOIR (RUE);2;18;3;15;66;RESTAURANT SCOLAIRE JULES FERRY
1144;CHARLES DELESCLUZE (COURS);2;24;1;23;61;RESTAURANT SCOLAIRE JEAN VILAR
1148;CHARLES FABRY (RUE);2;8;1;3;97;ITEMM
1147;CHARLES FAROUX (RUE);4;50;3;59;63;MAISON POUR TOUS JEAN MOULIN
1150;CHARLES LARROUIL (RUE);2;24;1;25;9;ECOLE MATERNELLE FRANCOIS-RABELAIS
1153;CHARLES LAVERAN (RUE);2;28;1;5;92;RESTAURANT SCOLAIRE DE LA MADELEINE
1155;CHARLES MORANCE (RUE);2;82;1;57;74;ECOLE PRIMAIRE MARCEAU
1159;CHARLES NICOLLE (BOULEVARD);12;22;;;96;ITEMM
1160;CHARLES NUNGESSER (RUE);2;48;1;27;52;SALLE LE ROYAL
1163;CHARLES RICHET (RUE);2;56;1;57;92;RESTAURANT SCOLAIRE DE LA MADELEINE
1167;CHARLES SAURIA (RUE);;;;;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
1170;CHARMES (RUE DES);4;110;1;115;44;RESTAURANT SCOLAIRE JEAN MACE
1175;CHARNIE (RUE DE LA);4;28;1;23;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
1177;CHASSE ROYALE (PLACE DE LA);;;;;86;ECOLE MATERNELLE PAULINE KERGOMARD
1177;CHASSE ROYALE (PLACE DE LA);;;;;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
1180;CHATEAU (RUE DU);2;2;1;5;1;MAIRIE - SALLE PAUL SCARRON
1190;CHATEAU D'EAU (RUE DU);4;62;1;61;65;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
1196;CHATEAU-GAILLARD (CHEMIN DE) (CR17);;;;;80;RESTAURANT SCOLAIRE MONTAIGU
1196;CHATEAU-GAILLARD (CHEMIN DE) (CR17);;;;;82;ECOLE PRIMAIRE ARDRIERS
1185;CHATEAUBRIAND (COURS);2;8;1;13;9;ECOLE MATERNELLE FRANCOIS-RABELAIS
1195;CHATEAUDUN (RUE DE);2;46;1;31;6;FOYER RENE-CLAIR
1200;CHEMIN DE FER (RUE DU);;;1;133;7;ECOLE MATERNELLE FRANCOIS-RABELAIS
1203;CHEMINOTS (RUE DES);;;1;11;82;ECOLE PRIMAIRE ARDRIERS
1204;CHENE LIEGE (RUE DU);2;50;1;27BIS;10;ECOLE MATERNELLE RENE-DESCARTES
1205;CHENE VERT (RUE DU);2;30;5;43;84;SALLE DU CHENE VERT
1209;CHENES (COURS DES);2;16;1;31;49;MAISON DE QUARTIER DES BRUYERES
1215;CHENEVIS (RUE DU);4;4BIS;1;23;93;RESTAURANT SCOLAIRE DE LA MADELEINE
1217;CHENONCEAUX (RUE DE);2;20;3;17;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
1220;CHERBOURG (RUE DE);;;1;9;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
1222;CHEVERNY (RUE DE);2;32;7;41;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
1224;CHINON (RUE DE);6;34;3;15BIS;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
1227;CHOUANAS (CHEMIN DE LA);;;;;82;ECOLE PRIMAIRE ARDRIERS
1228;CHRISTIAN LEON (RUE);6;8;1;9;56;ECOLE PRIMAIRE GUY MOQUET
1229;CHRISTIAN PINEAU (RUE);2;22;9;9;67;RESTAURANT SCOLAIRE JULES FERRY
1231;CHRISTIANE DESROCHES-NOBLECOURT (RUE);4;6;1;19;97;ITEMM
1235;CIGALE (RUE DE LA);2;46;1;55;33;RESTAURANT SCOLAIRE DU PLATEAU
1237;CIGOGNES (ALLEE DES);4;12;3;7;26;ECOLE PRIMAIRE CLAIREFONTAINE
1240;CIMETIERE SAINT GEORGES (RUE DU);2;60;5;23;77;ECOLE MATERNELLE MARIE CURIE
1245;CIRCUIT (RUE DU);2;20;1;33;55;ECOLE PRIMAIRE GUY MOQUET
1250;CIRQUE (RUE DU);2;20;;;13;ECOLE PRIMAIRE SUZANNE-BUSSON
1259;CITRONNIERS (COURS DES);4;10;3;9;49;MAISON DE QUARTIER DES BRUYERES
1265;CLAIE (RUE DE LA);2;44;1;33;83;ECOLE PRIMAIRE ARDRIERS
1270;CLAIR LOGIS (RUE);4;18;3;17;48;MAISON DE QUARTIER DES BRUYERES
1280;CLAIRCIGNY (RUE DE);2;86;5;75;88;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
1285;CLAIRE (ALLEE);;;;;79;ECOLE MATERNELLE MARIE CURIE
1290;CLAIRE (RUE);2;28;1;33;79;ECOLE MATERNELLE MARIE CURIE
1295;CLAIRE FONTAINE (RUE DE);2;20;7;9;22;ECOLE PRIMAIRE DU VILLARET
1300;CLARENCE (RUE DE);2;28;1;15;46;RESTAURANT SCOLAIRE JEAN MACE
1303;CLAUDE BERNARD (RUE);2;42;1;29;97;ITEMM
1305;CLAUDE BLONDEAU (RUE);2;26;1;15;1;MAIRIE - SALLE PAUL SCARRON
1309;CLAUDE DEBUSSY (ALLEE);2;4;1;33;51;FOYER FULBERT MASSON
1310;CLAUDE DEBUSSY (AVENUE);20;26;37;37;51;FOYER FULBERT MASSON
1315;CLAUDE HILLERET (RUE);2;76;1;73;10;ECOLE MATERNELLE RENE-DESCARTES
1317;CLAUDE MONET (RUE);20;80;29;55;61;RESTAURANT SCOLAIRE JEAN VILAR
1320;CLEMENCEAU (BOULEVARD);10;22;3;25;57;RESTAURANT SCOLAIRE MICHEL ANGE
1322;CLEMENT ADER (SQUARE);;;;;52;SALLE LE ROYAL
1325;CLEMENT MAROT (RUE);4;20;1;27;49;MAISON DE QUARTIER DES BRUYERES
1328;CLOS FOSSET (CHEMIN DU);;;;;20;ECOLE PRIMAIRE DU VILLARET
1328;CLOS FOSSET (CHEMIN DU);;;;;21;ECOLE PRIMAIRE DU VILLARET
1328;CLOS FOSSET (CHEMIN DU);;;;;22;ECOLE PRIMAIRE DU VILLARET
1329;CLOS LUCE (ALLEE DU);2;20;1;23;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
1330;CLOS MARGOT (RUE);2;20;1;21;30;RESTAURANT SCOLAIRE GERMAIN PILON
1335;CLOS SAINT GEORGES (RUE DU);6;44;9;49;81;RESTAURANT SCOLAIRE MONTAIGU
1338;COCHEREAUX (IMPASSE DES);;;;;90;RESTAURANT SCOLAIRE ROGER BOUVET
1340;COCHEREAUX (RUE DES);2;138;9;171;90;RESTAURANT SCOLAIRE ROGER BOUVET
1346;COEFFORT (PONT);;;;;45;RESTAURANT SCOLAIRE JEAN MACE
1346;COEFFORT (PONT);;;;;6;FOYER RENE-CLAIR
1345;COEFFORT (RUE);4;78;9;69;7;ECOLE MATERNELLE FRANCOIS-RABELAIS
1345;COEFFORT (RUE);68;68;;;6;FOYER RENE-CLAIR
1355;COLBERT (RUE);10;40;9;17;57;RESTAURANT SCOLAIRE MICHEL ANGE
1360;COLETTE (RUE);2;36;3;41;31;ECOLE MATERNELLE DES MAILLETS
1365;COLI (RUE);2;4;1;3;52;SALLE LE ROYAL
1367;COLIBRIS (RUE DES);2;10;3;13;24;RESTAURANT SCOLAIRE CLAIREFONTAINE
1370;COLIN THOMAS (CHEMIN);8;12;;;83;ECOLE PRIMAIRE ARDRIERS
1375;COLIN THOMAS (RUE);2;48;1;61;83;ECOLE PRIMAIRE ARDRIERS
1380;COLLECTIVITE (RUE DE LA);2;48;1;47;68;RESTAURANT SCOLAIRE JULES FERRY
1384;COLLINE SAINT BLAISE (RUE DE LA);2A;52;3;57;16;MAISON DE QUARTIER CHARLES TRENET
1384;COLLINE SAINT BLAISE (RUE DE LA);;;1;1;26;ECOLE PRIMAIRE CLAIREFONTAINE
1390;COLONEL BOCKLER (RUE DU);2;34;1;7;32;ECOLE MATERNELLE DES MAILLETS
1395;COLONEL COUTELLE (RUE DU);2;40;5;47;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
1400;COLONEL QUERU (BOULEVARD DU);12;22;1;21;90;RESTAURANT SCOLAIRE ROGER BOUVET
1405;COLONEL RAYNAL (RUE DU);2;78;3;31;72;ECOLE PRIMAIRE MARCEAU
1410;COLONEL RENARD (RUE DU);2;10;1;9;52;SALLE LE ROYAL
1415;COLONIES (RUE DES);4;30;1;35;51;FOYER FULBERT MASSON
1418;COMBOURG (IMPASSE DE);;;1;1;9;ECOLE MATERNELLE FRANCOIS-RABELAIS
1420;COMEDIE (RUE DE LA);;;;;1;MAIRIE - SALLE PAUL SCARRON
1425;COMMANDANT DELABOUDINIERE (RUE DU);6;46;13;87;38;RESTAURANT SCOLAIRE SABLONNIERE
1428;COMMERCE (PASSAGE DU);10;10;3;11;2;ECOLE MATERNELLE CLAUDE-CHAPPE
1430;COMPAIN LAURENT (RUE);2;100;1;99;82;ECOLE PRIMAIRE ARDRIERS
1429;COMTES DU MAINE (PLACE DES);2;44;1;29;2;ECOLE MATERNELLE CLAUDE-CHAPPE
1431;CONFERENCE DE LOCARNO (PLACE);;;5;5;78;ECOLE MATERNELLE MARIE CURIE
1435;CONSTANT DROUAULT (RUE);2;84;;;78;ECOLE MATERNELLE MARIE CURIE
1440;CONSTANTINE (RUE DE);2BIS;28;1;29;3;ECOLE MATERNELLE GENERAL GOUGEARD
1445;CONTREAU (PASSAGE);2;40;1;27;5;FOYER RENE-CLAIR
1450;CONTREXEVILLE (RUE DE);12;22;5;15;60;RESTAURANT SCOLAIRE LOUIS BLERIOT
1455;COOPERATION (RUE DE LA);4;18;3;21;92;RESTAURANT SCOLAIRE DE LA MADELEINE
1454;COPENHAGUE (ALLEE DE);;;;;33;RESTAURANT SCOLAIRE DU PLATEAU
1456;COPENHAGUE (RUE DE);2;10;1;25;33;RESTAURANT SCOLAIRE DU PLATEAU
1457;COPERNIC (RUE);14;14;1;5;40;RESTAURANT SCOLAIRE CLAUDE BERNARD
1460;COQ HARDI (RUELLE DU);;;;;89;RESTAURANT SCOLAIRE CLAIRCIGNY- BOUSSINIERE
1460;COQ HARDI (RUELLE DU);;;;;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
1465;COQUELICOTS (RUE DES);2;102;1;83;69;RESTAURANT SCOLAIRE BERTHE HUBERT
1468;CORBIERES (RUE DES);2;30;33;37;38;RESTAURANT SCOLAIRE SABLONNIERE
1470;CORDERIE (RUE DE LA);2;134;1;117;7;ECOLE MATERNELLE FRANCOIS-RABELAIS
1471;CORDOUE (RUE DE);2;58;3;17;19;ECOLE PRIMAIRE DU VILLARET
1475;CORMIER (RUE DU);6;28BIS;1;39;45;RESTAURANT SCOLAIRE JEAN MACE
1476;CORMORANS (RUE DES);2;26;1;21;80;RESTAURANT SCOLAIRE MONTAIGU
1478;CORNEILLE (RUE);4;18;3;7;11;ECOLE MATERNELLE RENE-DESCARTES
1480;CORNET (RUE DU);4;20;1;17;2;ECOLE MATERNELLE CLAUDE-CHAPPE
1481;COROT (RUE);2;24;1;29;59;RESTAURANT SCOLAIRE LOUIS BLERIOT
1483;CORSE (RUE DE);2;20;11;15;43;MAISON DE QUARTIER EDITH PIAF
1482;COSMONAUTES (RUE DES);14;26;1;25;70;RESTAURANT SCOLAIRE BERTHE HUBERT
1484;COSTES ET BELLONTE (COUR);4;6;7;7;36;MAISON DE QUARTIER BARBARA
1485;COTEAU (IMPASSE DU);2;14;3;31;17;MAISON DE QUARTIER CHARLES TRENET
1490;COTENTIN (RUE DU);2;6;1;7;68;RESTAURANT SCOLAIRE JULES FERRY
1492;COUDRAIE (RUE DE LA);6;34;17;31;64;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
1495;COUPERIN (ALLEE);2;12;1;3BIS;51;FOYER FULBERT MASSON
1500;COURARD (RUE);2;40;5;49;67;RESTAURANT SCOLAIRE JULES FERRY
1503;COURSES (CHEMIN DES);;;;;60;RESTAURANT SCOLAIRE LOUIS BLERIOT
1505;COURTHARDY (RUE);2;28;1;25;2;ECOLE MATERNELLE CLAUDE-CHAPPE
1510;COURTILLE (RUE DE LA);6;20;5;15;87;ECOLE MATERNELLE PAULINE KERGOMARD
1509;COUTURE (ALLEE DE LA);;;39;47;2;ECOLE MATERNELLE CLAUDE-CHAPPE
1511;COUVELOUP (CHEMIN DE);;;;;97;ITEMM
1515;CREUX (RUE DU);2;22;7;27;87;ECOLE MATERNELLE PAULINE KERGOMARD
1520;CROCHARDIERE (RUE DE LA);2;58;1;57;3;ECOLE MATERNELLE GENERAL GOUGEARD
1523;CROIX DE PIERRE (PLACE DE LA);;;;;30;RESTAURANT SCOLAIRE GERMAIN PILON
1525;CROIX DU PIN (RUE DE LA);2;24;1;17;93;RESTAURANT SCOLAIRE DE LA MADELEINE
1535;CULTERIE (IMPASSE DE LA);2;22;;;81;RESTAURANT SCOLAIRE MONTAIGU
1540;CURIE (BOULEVARD);8;30;7;21;73;ECOLE PRIMAIRE MARCEAU
1545;CYCLAMENS (PLACE DES);2;2;1;1;49;MAISON DE QUARTIER DES BRUYERES
1547;CYGNES (RUE DES);4;80;9;57;26;ECOLE PRIMAIRE CLAIREFONTAINE
1547;CYGNES (RUE DES);82;82;;;15;RESTAURANT SCOLAIRE FERDINAND-BUISSON
1549;CYPRES (COURS DES);2;14;1;31;49;MAISON DE QUARTIER DES BRUYERES
1555;CYRUS (RUE DE);6;32;1;37;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
;D 139 (ROUTE);;;;;53;FOYER FULBERT MASSON
;D 139 (ROUTE);;;;;54;SALLE LE ROYAL
1554;DAGADES (RUE);2;18;1;19;80;RESTAURANT SCOLAIRE MONTAIGU
1556;DAKAR (RUE DE);4;82;3;55;21;ECOLE PRIMAIRE DU VILLARET
1558;DANEMARK (RUE DU);2;66;;;43;MAISON DE QUARTIER EDITH PIAF
1560;DANIEL SAINT POL (RUE);2;40;1;27;57;RESTAURANT SCOLAIRE MICHEL ANGE
1570;DAUPHINE (RUE DU);2;20;3;19;66;RESTAURANT SCOLAIRE JULES FERRY
1571;DAVID D'ANGERS (RUE);;;33;45;53;FOYER FULBERT MASSON
1572;DEFORGE (IMPASSE);10;12;3;17;35;MAISON DE QUARTIER BARBARA
1575;DEGRE (IMPASSE DE);6;38;3;23;91;RESTAURANT SCOLAIRE ROGER BOUVET
1580;DEGRE (ROUTE DE);;;;;97;ITEMM
1585;DEGRE (RUE DE);2;94;7;57;91;RESTAURANT SCOLAIRE ROGER BOUVET
1587;DELAMBRE (RUE);2;12;;;39;RESTAURANT SCOLAIRE CLAUDE BERNARD
1588;DELOS (ALLEE);2;14;1;17;48;MAISON DE QUARTIER DES BRUYERES
1589;DEMOCRITE (RUE);;;1;1;96;ITEMM
1590;DEMORIEUX (BOULEVARD);104;200;57;57;46;RESTAURANT SCOLAIRE JEAN MACE
1590;DEMORIEUX (BOULEVARD);264;314;183;261;70;RESTAURANT SCOLAIRE BERTHE HUBERT
1590;DEMORIEUX (BOULEVARD);82;90;;;4;ECOLE MATERNELLE GENERAL GOUGEARD
1595;DENFERT ROCHEREAU (RUE);100;102;;;1;MAIRIE - SALLE PAUL SCARRON
1600;DENIS PAPIN (RUE);2;2;1;89;68;RESTAURANT SCOLAIRE JULES FERRY
1605;DESAIX (IMPASSE);14;18;;;85;ECOLE MATERNELLE PAULINE KERGOMARD
1610;DESAIX (RUE);2;28;1;27;85;ECOLE MATERNELLE PAULINE KERGOMARD
1615;DESCARTES (RUE);2;4;1;5;45;RESTAURANT SCOLAIRE JEAN MACE
1625;DESILES (RUE);;;1;63;37;RESTAURANT SCOLAIRE SABLONNIERE
